"","x","y"
"457",77,1
"458",27,2
"459",305,3
"460",294,1
"461",257,4
"462",60,1
"463",211,2
"464",189,1
"465",280,1
"466",280,1
"467",102,2
"468",181,1
"469",313,1
"470",46,1
"471",280,4
"472",66,2
"473",294,1
"474",64,4
"475",38,1
"476",319,3
"477",157,2
"478",52,2
"479",40,1
"480",78,2
"481",132,1
"482",28,1
"483",49,4
"484",49,4
"485",207,2
"486",34,2
"487",68,2
"488",9,3
"489",142,3
"490",271,4
"491",200,3
"492",263,2
"493",250,4
"494",263,2
"495",115,1
"496",71,3
"497",343,2
"498",331,1
"499",346,2
"500",197,4
"501",165,2
"502",122,3
"503",343,3
"504",52,3
"505",88,3
"506",63,1
"507",184,1
"508",161,3
"509",290,2
"510",87,3
"511",315,3
"512",191,1
"513",57,1
"514",2,4
"515",290,4
"516",346,1
"517",21,1
"518",75,4
"519",73,1
"520",265,2
"521",221,1
"522",285,3
"523",275,4
"524",37,1
"525",49,2
"526",265,4
"527",122,2
"528",102,2
"529",27,2
"530",354,3
"531",340,2
"532",206,2
"533",217,1
"534",181,1
"535",185,3
"536",29,1
"537",20,2
"538",314,2
"539",232,2
"540",256,4
"541",8,1
"542",4,2
"543",35,4
"544",5,3
"545",182,2
"546",113,4
"547",61,1
"548",193,3
"549",291,1
"550",173,3
"551",11,1
"552",285,2
"553",174,3
"554",258,1
"555",343,2
"556",131,2
"557",247,1
"558",219,4
"559",168,2
"560",64,3
"561",13,1
"562",278,3
"563",349,3
"564",152,2
"565",319,4
"566",155,3
"567",244,1
"568",83,1
"569",293,1
"570",21,3
"571",134,3
"572",221,2
"573",118,1
"574",12,2
"575",350,2
"576",167,2
"577",163,1
"578",350,3
"579",174,4
"580",223,2
"581",67,1
"582",283,1
"583",61,1
"584",167,2
"585",60,4
"586",29,3
"587",246,2
"588",245,2
"589",142,3
"590",69,2
"591",286,1
"592",256,2
"593",199,4
"594",313,2
"595",103,1
"596",106,3
"597",82,4
"598",244,3
"599",17,1
"600",203,3
"601",50,1
"602",47,1
"603",78,4
"604",76,1
"605",72,1
"606",74,1
"607",16,4
"608",265,3
"609",156,1
"610",10,1
"611",171,2
"612",336,4
"613",300,1
"614",167,3
"615",242,3
"616",243,4
"617",274,2
"618",351,1
"619",26,1
"620",258,3
"621",311,3
"622",167,1
"623",76,2
"624",275,1
"625",104,2
"626",90,3
"627",318,1
"628",288,2
"629",6,2
"630",321,1
"631",62,2
"632",125,1
"633",94,3
"634",242,2
"635",272,1
"636",135,2
"637",210,3
"638",346,1
"639",328,1
"640",232,3
"641",217,2
"642",60,3
"643",299,2
"644",210,3
"645",91,3
"646",131,4
"647",263,2
"648",155,1
"649",87,2
"650",265,1
"651",37,1
"652",5,2
"653",207,2
"654",207,2
"655",26,3
"656",322,3
"657",332,3
"658",212,4
"659",154,4
"660",361,1
"661",277,1
"662",216,1
"663",235,2
"664",320,1
"665",261,4
"666",281,4
"667",333,3
"668",209,2
"669",51,3
"670",280,4
"671",307,2
"672",318,3
"673",253,1
"674",38,3
"675",345,1
"676",87,1
"677",254,4
"678",260,1
"679",245,1
"680",339,2
"681",40,4
"682",126,1
"683",254,3
"684",279,2
"685",357,2
"686",90,2
"687",212,3
"688",297,2
"689",0,1
"690",207,1
"691",289,1
"692",104,1
"693",74,1
"694",326,1
"695",23,1
"696",26,1
"697",258,1
"698",137,1
"699",220,1
"700",307,1
"701",296,1
"702",47,1
"703",153,1
"704",45,1
